question,reference_answer,generated_answer,rouge1_f,rouge2_f,rougeL_f
"Why can't an expander-cycle engine be built to use RP-1 or other non-cryogenic fuels?

The expander cycle family of rocket-engine power cycles involve","It's not the boiling point, it's the specific heat capacity.  Temperature ≠ heat!

Kerosene's cp is only 2 kJ/(kg K)) while hydrogen's is 14.31 kJ/(kg K)), literally an order of magnitude better.

That means kerosene is a terrible coolant, and

For expander cycle engines, the maximum size and thrust","There are two reasons why an expander cycle engine can not be used to burn any noncryogenic propellant at high pressures.

Firstly, there would be insufficient pressure in the turbine inlet of the engine to provide sufficient heating to the fuel. This is because the turbine outlet is usually kept at",0.267,0.054,0.16
"What did the sky actually look like from the Moon?

All the photographs I've seen from the Apollo missions show lunar features in good detail and expo","The astronauts on the moon had the same problem as the photos - their eyes were adapted to the light levels reflected from the moon's surface, so it was almost as hard to see the stars as it is to see them from Earth during the day.

Neil Armstrong said, in a post-Apollo 11 press conference: ""we wer","This picture was taken during Apollo 15 mission, which had a lot of scientific experiments on board. The pictures taken with the Lunar Reconnaissance Orbiter Camera (LROC) are excellent as well. Here is an example of one of them:

As you see, the sky was much darker than the ground - the sunlit side",0.35,0.071,0.18
"Were any Apollo-13-specific procedures added to standard training?

The Apollo 13 accident required a number of unusual procedures to be followed, som","Surprisingly, training for contingencies did not increase after Apollo 13.  It was more important for astronauts and support crew to follow the same general approach of recognizing problems, determining their cause, and then applying a solution.  There was little chance that the specific problems of","There were several additional training sessions during the Apollo program (see also here) where astronauts practiced emergency landing scenarios including those associated with the lunar module being damaged. These included the following:

Astronauts practiced bringing the Command Module back to Ear",0.1,0.019,0.06
"What would the BFS' landing on Mars be like, if it is different from this animation?

The question What is the terminal velocity on Mars? and its answ","Mars entry follows a different series of maneuvers (a simulation using the previous fin layout: spacex.com/sites/spacex/files/mars-entry.mp4) that involves entering inverted and using downlift to stay within the atmosphere. They don't use parachutes, as they scale up poorly in both size and velocity","It appears that it was not meant to show a real scenario but rather an artist's conception based on how one might imagine it going down:

So while there is no doubt that it would be very fast with only 2 engines running, it does seem to suggest some kind of parachute descent for the final part of th",0.222,0.022,0.111
"Why can't we use charged fine metal dust instead of plasma for ion thruster?

One of the things that makes ion thrusters so bulky and problematic are ","In an ion thruster, particles are accelerated because of their electrical charge. The force acting on them is proportional to the charge (and the external field applied, which we can treat as fixed for a specific engine design). Naturally, the heavier the particle is, the less it is accelerated by t","The main issue is that you would need a huge amount of material in order to produce any meaningful thrust.

Plasma has a very low mass density, which means that it takes up much more space than solid matter at similar densities. The same applies to ions - they have even less mass than electrons (the",0.194,0.018,0.095
"why do under-expanded engines have less than ideal thrust?

I've been looking into rocket propulsion a bit and got stumped on something. I read that t","The hard part is that $P_e$ isn't a completely independent variable.  As the gas expands past the throat, thermal energy is being converted into kinetic energy.  The gas cools down and speeds up.

So if you shorten the nozzle (creating an underexpanded flow), there is greater pressure at the exit (g","It's because it gives maximum thrust for a given amount of propellant.

The equation you wrote down is actually valid for all kinds of engines (chemical or gas), not just rocket engines.

For chemical engines like rockets, the only way you can get more fuel out per unit time is by burning faster. Bu",0.23,0.0,0.121
"Proposed Christmas Island launch site, 1952 von Braun Luna Study

In a 1952 study, Wernher von Braun devised a ""manned lunar lander"" as illustrated be","Looks like Kiritimati, though I'm finding it tricky to locate a good reference confirming it.

From the Astronautix article on Kiritimati, no citation given:

Kiritimati (Christmas Island) in the Pacific Ocean was originally selected by Von Braun in his Collier magazine series of the early 1950's as","It's interesting how much detail can be found about this project. For example:

The proposed launch site would be located at Christmas Island in the Indian Ocean approximately 180 km east of Darwin, Australia. It will also be referred to as C.I.A., or the ""Cape Kennedy Area.""

A detailed description",0.2,0.038,0.114
"Are cubesats deployed with fully discharged batteries? Even those on Sherpa?

I'm pretty sure that at least some large satellites are deployed with th","All cubesats that I have personal knowledge of (including the Planet Labs fleet) were launched with partially charged batteries, typically at around the 50% level that minimizes degradation in storage.

The launch providers do typically impose fairly strict rules requiring redundant physical interlo","The batteries for all CubeSats launched through SpaceX are pre-charged, and the CubeSats receive power from them during flight. The batteries used are Lithium-Ion cells, which provide around 3V per cell. So if you take two of these and connect them in series, you can get up to 6V. If you use four of",0.239,0.015,0.134
"Hows does ""Glenn Research Center's sapphire refractive secondary concentrator"" work?

Clicking through NASA.spinoff.gov I came to the page for spinnof","After checking this reference (quoted in the question), here's my take on this device.

The general idea is to transfer concentrated solar energy from a primary concentrator, like a primary mirror, into a chamber (they call it a ""cavity"") for use in such applications as solar thermal power (electric","It sounds like you're asking about the second part of your question first.

Sapphire refractive secondary concentrator - Wikipedia

This image shows the prototype design. It has a 8.9 cm diameter input opening and a 1.9 cm diameter output window.

The schematic below shows the optical system as a se",0.119,0.007,0.066
"How to calculate the movement of the object passing near other object in space?

Assume object A is moving through the space and is passing near the o","Since you're interested in the equations of motion, I would solve this problem by using Lagrangian mechanics. Essentially, find the kinetic and potential energies for these two bodies, A and B.

Construct the Lagrangian:

$$L = T - V$$

where T is the kinetic energy, and V is the potential energy. T","The simplest case would be if you knew the mass of $A$ and its position vector $\vec{r}_A(t)$ at any time $t$. Then you can use Newton's law to write down an equation for the acceleration of $B$, which will then give you an expression for the velocity as a function of time, from which you can derive",0.314,0.021,0.209
"Unexpectably bright Tiangong-1?

Last night, at 22:51 EDT, I went outside to observe a Tiangong-1 pass (the first Chinese space station). It was expec","Almost certainly it was the glint of the Sun, or possible the Earth. Most likely the solar panels were pointed in just a way to reflect the light towards you. Lining this up would require some work, but it still could be done. The fact it happened right before it entered shadow also indicates this w","The space station is not really that bright. It's just that you were looking at it for longer than usual, and your eye adapted better to the dark environment. The reason why this happened is that the atmosphere around Earth has an effect on light propagation; it causes a phenomenon called atmospheri",0.342,0.027,0.158
